0x13000$<ul><li><b>Det.</b> <i>s</i>, "man"</li><li><b>Det.</b> man and his occupations</li><li><b>Det.</b> in personal names</li><li><b>Log.</b> <i>=j</i>, "I"</li><li><b>Det.</b> first person singular</li></ul>
0x13001$<ul><li><b>Det.</b> eat and drink</li><li><b>Det.</b> speak, think, feel</li><li><b>Det.</b> <i>j</i>, "O (vocative interjection)"</li></ul>
0x13002$<ul><li><b>Det.</b> <i>ḥmsj</i>, "sit"</li></ul>
0x13003$<ul><li><b>Det.</b> praise, supplicate</li><li><b>Det.</b> hide</li><li><b>Det.</b> resist</li></ul>
0x13004$<ul><li><b>Det.</b> hide</li></ul>
0x13005$<ul><li><b>Usage as</b> A5</li></ul>
0x13006$<ul><li><b>Log. or det.</b> <i>wꜥb</i>, "pure", "clean"</li></ul>
0x13007$<ul><li><b>Det.</b> <i>sꜣṯ</i>, "make libation", "libation stone"</li></ul>
0x13008$<ul><li><b>Det.</b> <i>sꜣṯ</i>, "make libation"</li></ul>
0x13009$<ul><li><b>Det.</b> weary, weak</li><li><b>Det.</b> <i>ḥmsj</i>, "sit"</li></ul>
0x1300A$<ul><li><b>Det.</b> <i>hnw</i>, "jubilation"</li></ul>
0x1300B$<ul><li><b>Log. or det.</b> <i>ꜣṯp</i>, "load"</li><li><b>Log. or det.</b> <i>fꜣj</i>, "raise"</li><li><b>Log. or det.</b> <i>kꜣt</i>, "work"</li></ul>
0x1300C$<ul><li><b>Det.</b> sailing</li></ul>
0x1300D$<ul><li><b>Log. or det.</b> <i>ḫnms</i>, "friend"</li></ul>
0x1300E$<ul><li><b>Log. or det.</b> <i>mšꜥ</i>, "army"</li><li><b>Det.</b> army</li></ul>
0x1300F$<ul><li><b>Det.</b> enemy</li></ul>
0x13010$<ul><li><b>Det.</b> death</li><li><b>Det.</b> enemy</li></ul>
0x13011$<ul><li><b>Usage as</b> A14</li></ul>
0x13012$<ul><li><b>Log. or det.</b> <i>ḫr</i>, "fall"</li></ul>
0x13013$<ul><li><b>Det.</b> <i>ksj</i>, "bow down"</li></ul>
0x13014$<ul><li><b>Log. or det.</b> <i>ẖrd</i>, "child"</li><li><b>Det.</b> young</li><li><b>Phon.</b> <i>nnj</i></li><li><b>Phon.</b> <i>ms</i></li><li><b>Usage as</b> A3</li></ul>
0x13015$<ul><li><b>Usage as</b> A3</li><li><b>Usage as</b> A17</li></ul>
0x13016$<ul><li><b>Det.</b> child-king</li></ul>
